Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , COGS , Profit ,Date, Month Name ,Year
Enterprise,Canada, Velo , Medium , $567.00 , $120.00 , $125.00 ," $70,875.00 "," $68,040.00 "," $(3,543.75)",09-01-2014, September ,2014
Government,Canada, Velo , Medium ," $1,269.00 ", $120.00 , $350.00 ," $444,150.00 "," $329,940.00 "," $74,236.50 ",10-01-2014, October ,2014
Government,Canada, Amarilla , Medium ," $1,269.00 ", $260.00 , $350.00 ," $444,150.00 "," $329,940.00 "," $74,236.50 ",10-01-2014, October ,2014
Government,Canada, Carretera , Medium , $819.00 , $3.00 , $7.00 ," $5,733.00 "," $4,095.00 "," $1,122.03 ",07-01-2014, July ,2014
Midmarket,Canada, Amarilla , Medium ," $1,630.50 ", $260.00 , $15.00 ," $24,457.50 "," $16,305.00 "," $5,951.32 ",07-01-2014, July ,2014
Enterprise,Canada, Velo , High ," $1,916.00 ", $120.00 , $125.00 ," $239,500.00 "," $229,920.00 "," $(14,370.00)",12-01-2013, December ,2013
Enterprise,Canada, VTT , High ," $2,529.00 ", $250.00 , $125.00 ," $316,125.00 "," $303,480.00 "," $(18,967.50)",11-01-2014, November ,2014
Government,Canada, Amarilla , High ," $2,240.00 ", $260.00 , $350.00 ," $784,000.00 "," $582,400.00 "," $123,200.00 ",02-01-2014, February ,2014
Channel Partners,Canada, Amarilla , High ," $3,520.50 ", $260.00 , $12.00 ," $42,246.00 "," $10,561.50 "," $27,459.90 ",04-01-2014, April ,2014
Government,Canada, Amarilla , High , $707.00 , $260.00 , $350.00 ," $247,450.00 "," $183,820.00 "," $38,885.00 ",09-01-2014, September ,2014
Midmarket,Canada, Velo , High , $384.00 , $120.00 , $15.00 ," $5,760.00 "," $3,840.00 "," $1,286.40 ",01-01-2014, January ,2014
Channel Partners,Canada, Carretera , High ," $1,937.00 ", $3.00 , $12.00 ," $23,244.00 "," $5,811.00 "," $14,876.16 ",02-01-2014, February ,2014
Midmarket,Canada, Carretera , High ," $1,560.00 ", $3.00 , $15.00 ," $23,400.00 "," $15,600.00 "," $5,226.00 ",11-01-2013, November ,2013
Small Business,Canada, Paseo , High , $873.00 , $10.00 , $300.00 ," $261,900.00 "," $218,250.00 "," $14,841.00 ",01-01-2014, January ,2014
Government,Canada, Paseo , High ," $2,104.50 ", $10.00 , $350.00 ," $736,575.00 "," $547,170.00 "," $108,381.75 ",07-01-2014, July ,2014
Channel Partners,Canada, Paseo , High ," $4,026.00 ", $10.00 , $12.00 ," $48,312.00 "," $12,078.00 "," $30,919.68 ",07-01-2014, July ,2014
Government,Canada, Paseo , High ," $2,394.00 ", $10.00 , $20.00 ," $47,880.00 "," $23,940.00 "," $18,673.20 ",08-01-2014, August ,2014
Small Business,Canada, Paseo , High ," $1,366.00 ", $10.00 , $300.00 ," $409,800.00 "," $341,500.00 "," $23,222.00 ",11-01-2014, November ,2014
Government,Canada, Velo , High ," $1,808.00 ", $120.00 , $7.00 ," $12,656.00 "," $9,040.00 "," $2,223.84 ",11-01-2014, November ,2014
Government,Canada, VTT , High ," $2,935.00 ", $250.00 , $20.00 ," $58,700.00 "," $29,350.00 "," $22,893.00 ",11-01-2013, November ,2013
Enterprise,Canada, Carretera , High ," $2,416.00 ", $3.00 , $125.00 ," $302,000.00 "," $289,920.00 "," $(24,160.00)",09-01-2013, September ,2013
Midmarket,Canada, Carretera , High ," $2,689.00 ", $3.00 , $15.00 ," $40,335.00 "," $26,890.00 "," $8,604.80 ",11-01-2014, November ,2014
Government,Canada, Montana , High ," $2,734.00 ", $5.00 , $7.00 ," $19,138.00 "," $13,670.00 "," $3,171.44 ",10-01-2014, October ,2014
Channel Partners,Canada, VTT , High ," $2,109.00 ", $250.00 , $12.00 ," $25,308.00 "," $6,327.00 "," $15,944.04 ",05-01-2014, May ,2014
Government,Canada, VTT , High , $623.00 , $250.00 , $350.00 ," $218,050.00 "," $161,980.00 "," $29,904.00 ",09-01-2013, September ,2013
Government,Canada, Amarilla , High ," $2,734.00 ", $260.00 , $7.00 ," $19,138.00 "," $13,670.00 "," $3,171.44 ",10-01-2014, October ,2014
Channel Partners,Canada, Amarilla , High ," $2,761.00 ", $260.00 , $12.00 ," $33,132.00 "," $8,283.00 "," $20,873.16 ",09-01-2013, September ,2013
Government,Canada, Carretera , High , $923.00 , $3.00 , $350.00 ," $323,050.00 "," $239,980.00 "," $41,073.50 ",03-01-2014, March ,2014
Government,Canada, Montana , High ," $1,249.00 ", $5.00 , $20.00 ," $24,980.00 "," $12,490.00 "," $9,242.60 ",10-01-2014, October ,2014
Government,Canada, Paseo , High ," $2,632.00 ", $10.00 , $350.00 ," $921,200.00 "," $684,320.00 "," $117,124.00 ",06-01-2014, June ,2014
Enterprise,Canada, Paseo , High ," $1,583.00 ", $10.00 , $125.00 ," $197,875.00 "," $189,960.00 "," $(17,808.75)",06-01-2014, June ,2014
Midmarket,Canada, Paseo , High ," $1,565.00 ", $10.00 , $15.00 ," $23,475.00 "," $15,650.00 "," $4,773.25 ",10-01-2014, October ,2014
Government,Canada, Paseo , High ," $1,249.00 ", $10.00 , $20.00 ," $24,980.00 "," $12,490.00 "," $9,242.60 ",10-01-2014, October ,2014
Government,Canada, Velo , High ," $2,632.00 ", $120.00 , $350.00 ," $921,200.00 "," $684,320.00 "," $117,124.00 ",06-01-2014, June ,2014
Enterprise,Canada, VTT , High ," $1,583.00 ", $250.00 , $125.00 ," $197,875.00 "," $189,960.00 "," $(17,808.75)",06-01-2014, June ,2014
Midmarket,Canada, VTT , High ," $1,565.00 ", $250.00 , $15.00 ," $23,475.00 "," $15,650.00 "," $4,773.25 ",10-01-2014, October ,2014
Enterprise,Canada, Amarilla , High ," $1,659.00 ", $260.00 , $125.00 ," $207,375.00 "," $199,080.00 "," $(18,663.75)",01-01-2014, January ,2014
Government,Canada, Paseo , High ," $2,428.00 ", $10.00 , $20.00 ," $48,560.00 "," $24,280.00 "," $17,481.60 ",03-01-2014, March ,2014
Small Business,Canada, Carretera , High ," $1,496.00 ", $3.00 , $300.00 ," $448,800.00 "," $374,000.00 "," $11,968.00 ",10-01-2014, October ,2014
Midmarket,Canada, Carretera , High ," $2,300.00 ", $3.00 , $15.00 ," $34,500.00 "," $23,000.00 "," $6,670.00 ",12-01-2014, December ,2014
Government,Canada, Montana , High ," $2,227.50 ", $5.00 , $350.00 ," $779,625.00 "," $579,150.00 "," $91,327.50 ",01-01-2014, January ,2014
Government,Canada, Montana , High , $200.00 , $5.00 , $350.00 ," $70,000.00 "," $52,000.00 "," $8,200.00 ",05-01-2014, May ,2014
Government,Canada, Montana , High , $388.00 , $5.00 , $7.00 ," $2,716.00 "," $1,940.00 ", $395.76 ,09-01-2014, September ,2014
Midmarket,Canada, Montana , High ," $2,300.00 ", $5.00 , $15.00 ," $34,500.00 "," $23,000.00 "," $6,670.00 ",12-01-2014, December ,2014
Midmarket,Canada, Paseo , High ," $2,470.00 ", $10.00 , $15.00 ," $37,050.00 "," $24,700.00 "," $7,163.00 ",09-01-2013, September ,2013
Midmarket,Canada, Paseo , High ," $1,743.00 ", $10.00 , $15.00 ," $26,145.00 "," $17,430.00 "," $5,054.70 ",10-01-2013, October ,2013
Government,Canada, Paseo , High , $700.00 , $10.00 , $350.00 ," $245,000.00 "," $182,000.00 "," $28,700.00 ",11-01-2014, November ,2014
Channel Partners,Canada, Paseo , High ," $2,222.00 ", $10.00 , $12.00 ," $26,664.00 "," $6,666.00 "," $16,265.04 ",11-01-2013, November ,2013
Small Business,Canada, Velo , High , $269.00 , $120.00 , $300.00 ," $80,700.00 "," $67,250.00 "," $2,152.00 ",10-01-2013, October ,2013
Small Business,Canada, VTT , High , $269.00 , $250.00 , $300.00 ," $80,700.00 "," $67,250.00 "," $2,152.00 ",10-01-2013, October ,2013
Small Business,Canada, VTT , High ," $1,496.00 ", $250.00 , $300.00 ," $448,800.00 "," $374,000.00 "," $11,968.00 ",10-01-2014, October ,2014
Small Business,Canada, Amarilla , High , $888.00 , $260.00 , $300.00 ," $266,400.00 "," $222,000.00 "," $7,104.00 ",03-01-2014, March ,2014
Midmarket,Canada, Amarilla , High ," $1,743.00 ", $260.00 , $15.00 ," $26,145.00 "," $17,430.00 "," $5,054.70 ",10-01-2013, October ,2013
Midmarket,Canada, Paseo , High ," $1,614.00 ", $10.00 , $15.00 ," $24,210.00 "," $16,140.00 "," $4,438.50 ",04-01-2014, April ,2014
Midmarket,Canada, Paseo , High ," $2,559.00 ", $10.00 , $15.00 ," $38,385.00 "," $25,590.00 "," $7,037.25 ",08-01-2014, August ,2014
Government,Canada, VTT , High , $865.50 , $250.00 , $20.00 ," $17,310.00 "," $8,655.00 "," $6,058.50 ",07-01-2014, July ,2014
Enterprise,Canada, VTT , High ," $2,954.00 ", $250.00 , $125.00 ," $369,250.00 "," $354,480.00 "," $(40,617.50)",11-01-2013, November ,2013
Government,Canada, Paseo , High , $723.00 , $10.00 , $7.00 ," $5,061.00 "," $3,615.00 ", $686.85 ,04-01-2014, April ,2014
Government,France, Paseo , Low ," $3,945.00 ", $10.00 , $7.00 ," $27,615.00 "," $19,725.00 "," $7,613.85 ",01-01-2014, January ,2014
Midmarket,France, Paseo , Low ," $2,296.00 ", $10.00 , $15.00 ," $34,440.00 "," $22,960.00 "," $11,135.60 ",02-01-2014, February ,2014
Government,France, Paseo , Low ," $1,030.00 ", $10.00 , $7.00 ," $7,210.00 "," $5,150.00 "," $1,987.90 ",05-01-2014, May ,2014
Government,France, Velo , Low , $639.00 , $120.00 , $7.00 ," $4,473.00 "," $3,195.00 "," $1,233.27 ",11-01-2014, November ,2014
Channel Partners,France, Carretera , Low ," $2,671.00 ", $3.00 , $12.00 ," $32,052.00 "," $8,013.00 "," $23,718.48 ",09-01-2014, September ,2014
Government,France, Carretera , Low ," $2,155.00 ", $3.00 , $350.00 ," $754,250.00 "," $560,300.00 "," $186,407.50 ",12-01-2014, December ,2014
Government,France, Montana , Low ," $1,375.50 ", $5.00 , $20.00 ," $27,510.00 "," $13,755.00 "," $13,479.90 ",07-01-2014, July ,2014
Enterprise,France, Paseo , Low , $787.00 , $10.00 , $125.00 ," $98,375.00 "," $94,440.00 "," $2,951.25 ",06-01-2014, June ,2014
Government,France, Paseo , Low ," $2,155.00 ", $10.00 , $350.00 ," $754,250.00 "," $560,300.00 "," $186,407.50 ",12-01-2014, December ,2014
Government,France, Velo , Low ," $3,864.00 ", $120.00 , $20.00 ," $77,280.00 "," $38,640.00 "," $37,867.20 ",04-01-2014, April ,2014
Enterprise,France, VTT , Low , $787.00 , $250.00 , $125.00 ," $98,375.00 "," $94,440.00 "," $2,951.25 ",06-01-2014, June ,2014
Enterprise,France, VTT , Low ," $1,744.00 ", $250.00 , $125.00 ," $218,000.00 "," $209,280.00 "," $6,540.00 ",11-01-2014, November ,2014
Midmarket,France, Amarilla , Low , $321.00 , $260.00 , $15.00 ," $4,815.00 "," $3,210.00 "," $1,556.85 ",11-01-2013, November ,2013
Government,France, Carretera , Low ," $2,145.00 ", $3.00 , $7.00 ," $15,015.00 "," $10,725.00 "," $3,989.70 ",11-01-2013, November ,2013
Small Business,France, Paseo , Low , $918.00 , $10.00 , $300.00 ," $275,400.00 "," $229,500.00 "," $40,392.00 ",05-01-2014, May ,2014
Channel Partners,France, Paseo , Low ," $1,785.00 ", $10.00 , $12.00 ," $21,420.00 "," $5,355.00 "," $15,636.60 ",11-01-2013, November ,2013
Channel Partners,France, Paseo , Low ," $1,055.00 ", $10.00 , $12.00 ," $12,660.00 "," $3,165.00 "," $9,241.80 ",12-01-2014, December ,2014
Channel Partners,France, Velo , Low ," $1,055.00 ", $120.00 , $12.00 ," $12,660.00 "," $3,165.00 "," $9,241.80 ",12-01-2014, December ,2014
Government,France, Amarilla , Low , $941.00 , $260.00 , $20.00 ," $18,820.00 "," $9,410.00 "," $9,033.60 ",11-01-2014, November ,2014
Enterprise,France, Carretera , Low ," $4,243.50 ", $3.00 , $125.00 ," $530,437.50 "," $509,220.00 "," $5,304.38 ",04-01-2014, April ,2014
Channel Partners,France, Montana , Low ," $1,901.00 ", $5.00 , $12.00 ," $22,812.00 "," $5,703.00 "," $16,424.64 ",06-01-2014, June ,2014
Government,France, Montana , Low , $544.00 , $5.00 , $7.00 ," $3,808.00 "," $2,720.00 ", $973.76 ,09-01-2014, September ,2014
Enterprise,France, Montana , Low ," $1,287.00 ", $5.00 , $125.00 ," $160,875.00 "," $154,440.00 "," $1,608.75 ",12-01-2014, December ,2014
Small Business,France, Paseo , Low ," $2,434.50 ", $10.00 , $300.00 ," $730,350.00 "," $608,625.00 "," $99,814.50 ",01-01-2014, January ,2014
Channel Partners,France, Paseo , Low ," $1,901.00 ", $10.00 , $12.00 ," $22,812.00 "," $5,703.00 "," $16,424.64 ",06-01-2014, June ,2014
Enterprise,France, Paseo , Low ," $1,287.00 ", $10.00 , $125.00 ," $160,875.00 "," $154,440.00 "," $1,608.75 ",12-01-2014, December ,2014
Midmarket,France, Paseo , Low ," $2,261.00 ", $10.00 , $15.00 ," $33,915.00 "," $22,610.00 "," $9,948.40 ",12-01-2013, December ,2013
Government,France, Velo , Low ," $2,177.00 ", $120.00 , $350.00 ," $761,950.00 "," $566,020.00 "," $165,452.00 ",10-01-2014, October ,2014
Channel Partners,France, VTT , Low , $866.00 , $250.00 , $12.00 ," $10,392.00 "," $2,598.00 "," $7,378.32 ",05-01-2014, May ,2014
Government,France, VTT , Low ," $2,177.00 ", $250.00 , $350.00 ," $761,950.00 "," $566,020.00 "," $165,452.00 ",10-01-2014, October ,2014
Channel Partners,France, Carretera , Medium ," $1,865.00 ", $3.00 , $12.00 ," $22,380.00 "," $5,595.00 "," $15,666.00 ",02-01-2014, February ,2014
Government,France, Carretera , Medium ," $1,563.00 ", $3.00 , $20.00 ," $31,260.00 "," $15,630.00 "," $14,067.00 ",05-01-2014, May ,2014
Government,France, Carretera , Medium ," $2,487.00 ", $3.00 , $7.00 ," $17,409.00 "," $12,435.00 "," $4,103.55 ",12-01-2014, December ,2014
Government,France, Montana , Medium ," $1,384.50 ", $5.00 , $350.00 ," $484,575.00 "," $359,970.00 "," $100,376.25 ",01-01-2014, January ,2014
Government,France, Paseo , Medium ," $1,303.00 ", $10.00 , $20.00 ," $26,060.00 "," $13,030.00 "," $11,727.00 ",02-01-2014, February ,2014
Enterprise,France, Paseo , Medium ," $2,385.00 ", $10.00 , $125.00 ," $298,125.00 "," $286,200.00 "," $(2,981.25)",03-01-2014, March ,2014
Midmarket,France, Paseo , Medium ," $2,620.00 ", $10.00 , $15.00 ," $39,300.00 "," $26,200.00 "," $11,135.00 ",09-01-2014, September ,2014
Enterprise,France, Paseo , Medium , $704.00 , $10.00 , $125.00 ," $88,000.00 "," $84,480.00 ", $(880.00),10-01-2013, October ,2013
Government,France, Paseo , Medium ," $2,136.00 ", $10.00 , $7.00 ," $14,952.00 "," $10,680.00 "," $3,524.40 ",12-01-2013, December ,2013
Government,France, Velo , Medium ," $1,579.00 ", $120.00 , $20.00 ," $31,580.00 "," $15,790.00 "," $14,211.00 ",08-01-2014, August ,2014
Enterprise,France, Velo , Medium , $704.00 , $120.00 , $125.00 ," $88,000.00 "," $84,480.00 ", $(880.00),10-01-2013, October ,2013
Government,France, Velo , Medium ," $1,033.00 ", $120.00 , $20.00 ," $20,660.00 "," $10,330.00 "," $9,297.00 ",12-01-2013, December ,2013
Government,France, VTT , Medium ," $2,487.00 ", $250.00 , $7.00 ," $17,409.00 "," $12,435.00 "," $4,103.55 ",12-01-2014, December ,2014
Midmarket,France, Paseo , Medium ," $3,801.00 ", $10.00 , $15.00 ," $57,015.00 "," $38,010.00 "," $15,584.10 ",04-01-2014, April ,2014
Government,France, Montana , Medium ," $1,403.00 ", $5.00 , $7.00 ," $9,821.00 "," $7,015.00 "," $2,216.74 ",10-01-2013, October ,2013
Government,France, Paseo , Medium ," $1,496.00 ", $10.00 , $350.00 ," $523,600.00 "," $388,960.00 "," $103,224.00 ",06-01-2014, June ,2014
Government,France, Velo , Medium ," $1,496.00 ", $120.00 , $350.00 ," $523,600.00 "," $388,960.00 "," $103,224.00 ",06-01-2014, June ,2014
Small Business,France, Velo , Medium ," $1,221.00 ", $120.00 , $300.00 ," $366,300.00 "," $305,250.00 "," $39,072.00 ",10-01-2013, October ,2013
Government,France, Velo , Medium ," $2,076.00 ", $120.00 , $350.00 ," $726,600.00 "," $539,760.00 "," $143,244.00 ",10-01-2013, October ,2013
